country,tls13,ipv6,http3,iqi_p50,region
GP,65.90102450943397,11.620461150943397,30.201307566037734,10.081560679245284,Other
GQ,70.33631435849057,0.32214773584905665,13.002180849056604,3.6139350188679247,Other
GR,58.21144439622641,47.27931415094339,37.026360641509434,17.140152811320753,EU-West
GS,73.26444673584905,81.55248837735849,0.6316589433962264,,Other
GT,72.9954419245283,46.82447839622641,22.40587405660377,9.66938579245283,Other
GU,59.72210998113207,5.490663528301887,35.4375841509434,9.697261528301889,Other
GW,72.75533850943395,1.742326924528302,12.61561037735849,4.853688283018868,Other
GY,69.25003254716981,24.855176679245282,25.210876226415092,6.807860584905661,Other
HK,80.38838335849057,3.68019741509434,9.670954113207546,54.029077716981135,APAC-Dev
HN,69.76707639622641,16.025882566037733,24.21819850943396,10.807038471698114,Other
HR,61.99672650943396,4.850204113207547,28.577152226415095,18.52410345283019,EU-East
HT,66.67346556603773,8.990924886792452,19.51472903773585,6.406976924528301,Other
HU,68.96418356603773,45.00262073584906,26.86510113207547,27.284644981132075,EU-East
ID,67.81029490566038,16.216915981132075,25.33386275471698,11.972372679245282,APAC-Em
IE,70.31196471698114,10.22917720754717,8.191444226415095,30.72809213207547,EU-West
IL,69.60835388679246,39.18258041509434,23.111021867924528,31.78082137735849,MENA
IM,49.9317788490566,8.56134658490566,13.558752698113206,24.0961310754717,Other
IN,66.8315946226415,64.84600326415095,27.011551094339623,10.425757283018866,APAC-Em
IO,49.99618690566037,32.99840650943396,14.607459943396227,,Other
IQ,70.74486986792452,2.4724056603773583,22.88748149056604,7.126531886792453,MENA
IR,92.70663039622642,3.1035104339622643,2.834406754716981,5.735299226415095,MENA
IS,65.7418626226415,11.893344226415095,28.53366083018868,18.727698150943397,Other
IT,64.80867722641509,15.215552150943395,29.40237403773585,20.079818849056604,EU-West
JE,62.94515266037736,3.7972602641509434,29.205881924528303,33.208672188679245,Other
JM,71.7687908490566,17.06327262264151,22.910432811320753,10.948849698113207,Other
JO,59.5459061509434,17.53727637735849,32.35062183018868,8.942672849056603,MENA
JP,72.61586620754717,41.32418045283019,22.486143018867924,33.54051069811321,APAC-Dev
KE,67.9700393018868,7.062548471698113,25.666538056603773,6.606334735849057,Africa
KG,55.518559792452834,4.458636094339623,33.925281226415095,5.609341433962264,Other
KH,61.460997584905655,0.6690685660377358,32.62444801886792,11.87584571698113,Other
KI,64.92990726415094,49.012942679245285,25.06563375471698,5.797534056603773,Other
KM,62.40060669811321,0.5326283962264151,24.989515150943397,4.407952962264151,Other
KN,65.27766452830188,2.6700095283018865,28.155279226415093,11.29462986792453,Other
KP,90.62121773584906,73.33846249056604,5.376895886792453,2.1527365,Other
KR,67.38222950943396,18.765932981132075,27.595226622641512,55.302547264150945,APAC-Dev
KW,65.35399852830189,23.92874745283019,28.296085773584906,8.27623041509434,MENA
KY,63.71239784905661,3.1072643773584905,29.57700833962264,17.961778226415095,Other
KZ,59.39216775471698,20.89431803773585,33.36038371698113,6.550708339622641,Other
LA,54.534364396226415,0.6615340377358491,40.35192273584906,9.527223075471698,Other
LB,63.96082928301887,0.9630360943396227,30.80919116981132,6.163872433962265,MENA
LC,64.53775266037736,19.33966637735849,30.01068056603774,7.209886226415094,Other
LI,67.8544859245283,19.92106490566038,25.022637754716982,41.80324247169811,EU-West
LK,55.88709760377358,47.20012516981132,39.16707428301887,6.307015150943395,Other
LR,71.56411750943396,3.7020419433962264,19.06595016981132,3.66653541509434,Other
LS,55.481151830188686,0.6218856226415095,36.81134339622641,9.220262452830188,Other
LT,68.66586652830189,17.202435056603775,23.765195603773584,23.647347679245282,EU-East
LU,72.38169228301886,20.66102413207547,19.490848094339622,35.83344635849057,EU-West
LV,67.61246790566038,18.213154226415096,26.247772735849058,19.10362662264151,EU-East
LY,69.55677241509434,1.118406924528302,22.3484460754717,6.407686396226414,Other
MA,76.89635505660377,1.041767358490566,17.169384056603775,11.785316981132075,Africa
MC,68.88101133962265,3.6212765471698116,26.977580094339622,45.93765371698113,Other
