iso3,iso2,status,rows,start,end,failures,file,note
ISR,IL,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ISR.csv,no_recent_data_30d
ITA,IT,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ITA.csv,no_recent_data_30d
JAM,JM,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\JAM.csv,no_recent_data_30d
JEY,JE,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\JEY.csv,no_recent_data_30d
JOR,JO,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\JOR.csv,no_recent_data_30d
JPN,JP,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\JPN.csv,no_recent_data_30d
KAZ,KZ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\KAZ.csv,no_recent_data_30d
KEN,KE,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\KEN.csv,no_recent_data_30d
KGZ,KG,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\KGZ.csv,no_recent_data_30d
KHM,KH,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\KHM.csv,no_recent_data_30d
