date,iqi_latency_p25,iqi_latency_p50,iqi_latency_p75,country_alpha2,country,year,month
2025-04-07 00:00:00+00:00,18.418871,23.231005,31.981538,AD,AND,2025,4
2025-04-14 00:00:00+00:00,18.823032,23.771293,32.399096,AD,AND,2025,4
2025-04-21 00:00:00+00:00,18.941452,23.947029,31.964639,AD,AND,2025,4
2025-04-28 00:00:00+00:00,21.085457,28.053022,37.638266,AD,AND,2025,4
2025-05-05 00:00:00+00:00,18.944581,25.510708,33.843874,AD,AND,2025,5
2025-05-12 00:00:00+00:00,18.385755,24.32679,32.770718,AD,AND,2025,5
2025-05-19 00:00:00+00:00,17.697547,23.762723,31.827943,AD,AND,2025,5
2025-05-26 00:00:00+00:00,18.239142,24.455751,33.626326,AD,AND,2025,5
2025-06-02 00:00:00+00:00,17.804297,24.217439,33.170793,AD,AND,2025,6
2025-06-09 00:00:00+00:00,17.991145,24.708501,36.138137,AD,AND,2025,6
2025-06-16 00:00:00+00:00,19.645408,26.819581,37.509921,AD,AND,2025,6
2025-06-23 00:00:00+00:00,18.90489,25.693162,35.102339,AD,AND,2025,6
2025-06-30 00:00:00+00:00,18.857127,25.168661,32.531074,AD,AND,2025,6
2025-07-07 00:00:00+00:00,16.864607,23.33463,31.927681,AD,AND,2025,7
2025-07-14 00:00:00+00:00,16.821596,22.887474,33.369556,AD,AND,2025,7
2025-07-21 00:00:00+00:00,18.357757,24.325054,32.503665,AD,AND,2025,7
2025-07-28 00:00:00+00:00,17.640957,22.623277,29.792464,AD,AND,2025,7
2025-08-04 00:00:00+00:00,18.13906,24.593166,34.562222,AD,AND,2025,8
2025-08-11 00:00:00+00:00,19.312475,25.354167,35.609483,AD,AND,2025,8
2025-08-18 00:00:00+00:00,18.112602,24.183327,32.029961,AD,AND,2025,8
2025-08-25 00:00:00+00:00,18.470691,24.764507,32.908427,AD,AND,2025,8
2025-09-01 00:00:00+00:00,18.393334,24.021856,32.612167,AD,AND,2025,9
2025-09-08 00:00:00+00:00,19.662943,25.027747,33.865842,AD,AND,2025,9
2025-09-15 00:00:00+00:00,19.537746,26.095524,35.019206,AD,AND,2025,9
2025-09-22 00:00:00+00:00,18.134632,23.621228,31.631998,AD,AND,2025,9
2025-09-29 00:00:00+00:00,19.423457,25.58254,33.550131,AD,AND,2025,9
2025-10-06 00:00:00+00:00,19.696517,27.47481,39.265456,AD,AND,2025,10
2025-10-13 00:00:00+00:00,18.203981,25.623132,35.995277,AD,AND,2025,10
2025-10-20 00:00:00+00:00,18.123275,24.821249,34.333508,AD,AND,2025,10
2025-10-27 00:00:00+00:00,18.380154,25.283157,34.61955,AD,AND,2025,10
