country,tls13,ipv6,http3,iqi_p50,region,cluster,cluster_label,pc1,pc2
PA,71.0822493773585,4.985494603773585,23.22058550943396,9.241035943396229,LATAM,0,En transition,-0.2935471371564417,-0.9688337243222002
PE,65.88868254716981,31.1415329245283,29.061166358490567,16.751414471698112,LATAM,0,En transition,0.09403754184326395,0.5720970752306547
PF,62.462299188679246,4.599997037735849,32.88367349056604,5.440290188679245,Other,0,En transition,1.4306234993146068,-0.592317061099889
PG,55.24940143396226,18.877259452830188,36.56849967924528,5.54261479245283,Other,0,En transition,2.1762518527680133,0.150306436564369
PH,68.9784042264151,17.137938207547172,27.32643583018868,17.280458018867925,APAC-Em,0,En transition,-0.10235889726406133,0.09676379761828272
PK,62.592202754716986,22.527800018867925,27.554920094339625,6.871020094339623,APAC-Em,0,En transition,0.6121263146138579,-0.24816794258669364
PL,67.33568158490566,15.58916137735849,27.84900632075472,18.11528452830189,EU-East,0,En transition,0.11580559125961526,0.19438111156845242
PM,59.47916573584905,3.054283339622641,35.81680526415094,18.91802826,Other,0,En transition,1.7698247131227778,0.5065522540444797
PN,56.27809301886792,80.40501962264152,29.746978018867924,17.978118,Other,0,En transition,0.15306930712357217,2.223684394273872
PR,67.45864001886792,45.71765798113207,27.074549358490565,11.337157245283018,Other,0,En transition,-0.40463066403348014,0.4275182688839612
PS,59.68950850943396,1.002861,33.3076827735849,8.576441226415094,Other,0,En transition,1.749279124705528,-0.34846595728414925
PT,67.4243166981132,33.0855861509434,27.091131490566035,29.2647021509434,EU-West,0,En transition,-0.4679277297121892,1.3556148708151357
PW,62.61388556603773,2.034731037735849,32.931801433962264,5.141448226415094,Other,0,En transition,1.4724409791811561,-0.6788945844176895
PY,72.8253857735849,37.1642891509434,20.817386886792452,13.088638698113208,LATAM,1,En transition,-1.3255197906351324,-0.07065355936492872
QA,67.09640062264151,34.441173735849056,27.09933035849057,18.707993,MENA,0,En transition,-0.2828806360684584,0.6749223196066461
RE,57.13514224528302,16.408216320754715,37.63115852830189,9.730190132075473,Other,0,En transition,2.0582695344586943,0.34650141487114644
RO,62.84938403773585,24.632044603773583,28.460842943396223,21.08620283018868,EU-East,0,En transition,0.3856743891225227,0.8020576475337758
RS,61.47409466037736,5.904211283018868,31.60766237735849,22.191609773584908,EU-East,0,En transition,1.1127557805468293,0.5827697765805899
RU,63.49497260377359,7.594423584905661,17.563042811320756,11.846104471698112,EU-East,0,En transition,-0.1274621558787664,-0.6461174856544614
RW,67.81194318867924,17.334467415094338,25.224042396226416,5.1593641509433965,Other,0,En transition,0.03344452967691752,-0.76200018093278
SA,69.84341464150944,56.84627737735849,23.971840433962264,7.723703962264151,MENA,1,En transition,-1.0432389562644242,0.2549960456253787
SB,59.36668156603773,15.051007056603774,26.473477679245285,6.765724075471698,Other,0,En transition,0.9737575896939991,-0.3567548456346742
SC,65.91770052830189,11.494187849056605,26.54197916981132,6.9445667547169805,Other,0,En transition,0.40659538648859045,-0.6664578712869944
SD,64.19200471698113,12.182582,27.120150584905662,4.395020188679245,Other,0,En transition,0.6530806487209104,-0.7423426093478884
SE,70.81803481132076,24.3992341509434,22.35385266037736,35.44373937735849,EU-West,1,En transition,-1.1409371199658178,1.282833712809868
SG,78.38988513207548,6.644292358490566,6.911944301886793,52.38598275471698,APAC-Dev,1,En transition,-3.137426816331257,1.20850776591291
SH,76.12317394339622,6.2871740377358485,16.73263179245283,,Other,1,En transition,-1.3676214606518098,-1.2933986705821654
SI,66.09506158490565,11.052737849056603,29.402832226415097,25.5017821509434,EU-East,0,En transition,0.3271230336118788,0.6909983920934286
SJ,71.89193813207548,34.04789626415094,19.13266658490566,7.650543600000001,Other,1,En transition,-1.2282035441650194,-0.5443229279751302
SK,66.21856849056604,10.318309641509432,29.909565226415097,24.72857145283019,EU-East,0,En transition,0.3845495257505587,0.6330530095226711
SL,68.47709375471698,3.134451905660377,20.207484075471697,3.687060075471698,Other,0,En transition,-0.16771697159620186,-1.404913956139909
SM,61.5491788490566,1.5859533018867924,31.91047683018868,43.289175339622645,Other,0,En transition,0.8559759102943294,1.9362460498798133
SN,65.56496939622642,25.39895298113208,25.351018075471696,6.6326175471698114,Africa,0,En transition,0.0883210370074441,-0.37915641833124647
SO,53.46692986792453,0.9679134150943396,38.71559639622642,4.238933490566038,Other,0,En transition,2.8837546200690944,-0.23449409439144436
SR,70.31514698113207,40.90039152830188,25.45063166037736,7.424080226415094,Other,0,En transition,-0.6641583858006507,-0.11821202757405333
SS,68.55216979245283,17.265400490566037,21.417744056603773,5.009277716981132,Other,0,En transition,-0.35625363964559303,-0.9323867812867273
